1_Group_gene     2_Uni_entry  3_Gene    4_HMM_evalue  5_HMM_score  6_Closest_group_by_HMM
AGC_MASTL        GWL_HUMAN    MASTL     7.5e-133  436.4  AGC
AGC_STK38L       ST38L_HUMAN  STK38L    2.3e-105  346.3  AGC
AGC_AKT3         AKT3_HUMAN   AKT3      5.2e-105  345.1  AGC
AGC_LATS2        LATS2_HUMAN  LATS2     4.2e-104  342.2  AGC
AGC_PRKCE        KPCE_HUMAN   PRKCE     4.7e-104  342.0  AGC
AGC_PRKCA        KPCA_HUMAN   PRKCA     9.2e-104  341.1  AGC
AGC_AKT2         AKT2_HUMAN   AKT2      1e-103    340.9  AGC
AGC_STK38        STK38_HUMAN  STK38     1.3e-103  340.5  AGC
AGC_AKT1         AKT1_HUMAN   AKT1      1.4e-103  340.4  AGC
AGC_SGK1         SGK1_HUMAN   SGK1      1.7e-103  340.2  AGC
AGC_LATS1        LATS1_HUMAN  LATS1     2e-103    340.0  AGC
AGC_MAST3        MAST3_HUMAN  MAST3     7.9e-103  338.0  AGC
AGC_PRKCB        KPCB_HUMAN   PRKCB     1.2e-102  337.4  AGC
AGC_MAST4        MAST4_HUMAN  MAST4     1.5e-102  337.1  AGC
AGC_MAST2        MAST2_HUMAN  MAST2     4e-102    335.7  AGC
AGC_PRKCH        KPCL_HUMAN   PRKCH     4.8e-102  335.4  AGC
AGC_RPS6KA6_1    KS6A6_HUMAN  RPS6KA6   2e-101    333.4  AGC
AGC_MAST1        MAST1_HUMAN  MAST1     3.1e-101  332.8  AGC
AGC_SGK2         SGK2_HUMAN   SGK2      3.8e-101  332.5  AGC
AGC_RPS6KA3_1    KS6A3_HUMAN  RPS6KA3   4.6e-101  332.2  AGC
AGC_CDC42BPA     MRCKA_HUMAN  CDC42BPA  6.4e-101  331.7  AGC
AGC_CDC42BPB     MRCKB_HUMAN  CDC42BPB  8.8e-101  331.3  AGC
AGC_SGK3         SGK3_HUMAN   SGK3      2e-100    330.2  AGC
AGC_RPS6KA2_1    KS6A2_HUMAN  RPS6KA2   2.1e-100  330.1  AGC
AGC_RPS6KB1      KS6B1_HUMAN  RPS6KB1   3.2e-100  329.5  AGC
AGC_PRKCI        KPCI_HUMAN   PRKCI     7.6e-100  328.2  AGC
AGC_PRKCQ        KPCT_HUMAN   PRKCQ     1.1e-99   327.7  AGC
